title,year,tmdb_id,rt_url,digital_date
Harvest,2025,,https://www.rottentomatoes.com/search?search=Harvest%202025,2025-08-08
War of the Worlds,2025,,https://www.rottentomatoes.com/search?search=War%20of%20the%20Worlds%202025,2025-07-29
Superman,2025,,https://www.rottentomatoes.com/search?search=Superman%202025,2025-08-14
Jurassic World Rebirth,2025,,https://www.rottentomatoes.com/search?search=Jurassic%20World%20Rebirth%202025,2025-08-04
Osiris,2025,,https://www.rottentomatoes.com/search?search=Osiris%202025,2025-07-25
How to Train Your Dragon,2025,,https://www.rottentomatoes.com/search?search=How%20to%20Train%20Your%20Dragon%202025,2025-07-14
Smurfs,2025,,https://www.rottentomatoes.com/search?search=Smurfs%202025,2025-08-11
The Pickup,2025,,https://www.rottentomatoes.com/search?search=The%20Pickup%202025,2025-08-05
Night Carnage,2025,,https://www.rottentomatoes.com/search?search=Night%20Carnage%202025,2025-07-29
The Bad Guys 2,2025,,https://www.rottentomatoes.com/search?search=The%20Bad%20Guys%202%202025,2025-08-18
KPop Demon Hunters,2025,,https://www.rottentomatoes.com/search?search=KPop%20Demon%20Hunters%202025,2025-06-19
M3GAN 2.0,2025,,https://www.rottentomatoes.com/search?search=M3GAN%202.0%202025,2025-07-14
Night Always Comes,2025,,https://www.rottentomatoes.com/search?search=Night%20Always%20Comes%202025,2025-08-14
My Oxford Year,2025,,https://www.rottentomatoes.com/search?search=My%20Oxford%20Year%202025,2025-07-31
Elio,2025,,https://www.rottentomatoes.com/search?search=Elio%202025,2025-08-18
Ballerina,2025,,https://www.rottentomatoes.com/search?search=Ballerina%202025,2025-06-30
Shaman,2025,,https://www.rottentomatoes.com/search?search=Shaman%202025,2025-08-08
28 Years Later,2025,,https://www.rottentomatoes.com/search?search=28%20Years%20Later%202025,2025-07-28
Ice Road: Vengeance,2025,,https://www.rottentomatoes.com/search?search=Ice%20Road%3A%20Vengeance%202025,2025-06-30
Eddington,2025,,https://www.rottentomatoes.com/search?search=Eddington%202025,2025-08-12
Happy Gilmore 2,2025,,https://www.rottentomatoes.com/search?search=Happy%20Gilmore%202%202025,2025-07-24
Site,2025,,https://www.rottentomatoes.com/search?search=Site%202025,2025-08-08
Bride Hard,2025,,https://www.rottentomatoes.com/search?search=Bride%20Hard%202025,2025-09-20
F1,2025,,https://www.rottentomatoes.com/search?search=F1%202025,2025-08-22
Bring Her Back,2025,,https://www.rottentomatoes.com/search?search=Bring%20Her%20Back%202025,2025-06-30
Materialists,2025,,https://www.rottentomatoes.com/search?search=Materialists%202025,2025-07-21
Abraham's Boys,2025,,https://www.rottentomatoes.com/search?search=Abraham%27s%20Boys%202025,2025-08-05
Heads of State,2025,,https://www.rottentomatoes.com/search?search=Heads%20of%20State%202025,2025-07-01
Almost Cops,2025,,https://www.rottentomatoes.com/search?search=Almost%20Cops%202025,2025-07-10
The Old Guard 2,2025,,https://www.rottentomatoes.com/search?search=The%20Old%20Guard%202%202025,2025-07-01
Dangerous Animals,2025,,https://www.rottentomatoes.com/search?search=Dangerous%20Animals%202025,2025-07-22
Snoopy Presents: A Summer Musical,2025,,https://www.rottentomatoes.com/search?search=Snoopy%20Presents%3A%20A%20Summer%20Musical%202025,2025-08-14
Fixed,2025,,https://www.rottentomatoes.com/search?search=Fixed%202025,2025-08-12
Sorority,2025,,https://www.rottentomatoes.com/search?search=Sorority%202025,2025-06-20
Kalakal,2025,,https://www.rottentomatoes.com/search?search=Kalakal%202025,2025-06-13
Predator: Killer of Killers,2025,,https://www.rottentomatoes.com/search?search=Predator%3A%20Killer%20of%20Killers%202025,2025-06-05
Dora and the Search for Sol Dorado,2025,,https://www.rottentomatoes.com/search?search=Dora%20and%20the%20Search%20for%20Sol%20Dorado%202025,2025-07-02
Stolen: Heist of the Century,2025,,https://www.rottentomatoes.com/search?search=Stolen%3A%20Heist%20of%20the%20Century%202025,2025-08-07
Almost Family,2025,,https://www.rottentomatoes.com/search?search=Almost%20Family%202025,2025-07-17
Z-O-M-B-I-E-S 4: Dawn of the Vampires,2025,,https://www.rottentomatoes.com/search?search=Z-O-M-B-I-E-S%204%3A%20Dawn%20of%20the%20Vampires%202025,2025-07-10
Wall to Wall,2025,,https://www.rottentomatoes.com/search?search=Wall%20to%20Wall%202025,2025-07-17
Saiyaara,2025,,https://www.rottentomatoes.com/search?search=Saiyaara%202025,2025-09-12
STRAW,2025,,https://www.rottentomatoes.com/search?search=STRAW%202025,2025-06-05
The Occupant,2025,,https://www.rottentomatoes.com/search?search=The%20Occupant%202025,2025-08-08
Ziam,2025,,https://www.rottentomatoes.com/search?search=Ziam%202025,2025-07-08
Deep Cover,2025,,https://www.rottentomatoes.com/search?search=Deep%20Cover%202025,2025-06-11
The Edge,2025,,https://www.rottentomatoes.com/search?search=The%20Edge%202025,2025-06-04
An Honest Life,2025,,https://www.rottentomatoes.com/search?search=An%20Honest%20Life%202025,2025-07-30
A Normal Woman,2025,,https://www.rottentomatoes.com/search?search=A%20Normal%20Woman%202025,2025-07-23
The Life of Chuck,2025,,https://www.rottentomatoes.com/search?search=The%20Life%20of%20Chuck%202025,2025-07-29
Diablo,2025,,https://www.rottentomatoes.com/search?search=Diablo%202025,2025-06-12
K.O.,2025,,https://www.rottentomatoes.com/search?search=K.O.%202025,2025-06-05
Descendent,2025,,https://www.rottentomatoes.com/search?search=Descendent%202025,2025-08-15
Aap Jaisa Koi,2025,,https://www.rottentomatoes.com/search?search=Aap%20Jaisa%20Koi%202025,2025-07-11
"Sorry, Baby",2025,,https://www.rottentomatoes.com/search?search=Sorry%2C%20Baby%202025,2025-08-05
Follow,2025,,https://www.rottentomatoes.com/search?search=Follow%202025,2025-07-18
The Phoenician Scheme,2025,,https://www.rottentomatoes.com/search?search=The%20Phoenician%20Scheme%202025,2025-07-01
I'm Still a Superstar,2025,,https://www.rottentomatoes.com/search?search=I%27m%20Still%20a%20Superstar%202025,2025-07-17
Saint Clare,2025,,https://www.rottentomatoes.com/search?search=Saint%20Clare%202025,2025-07-18
Highest 2 Lowest,2025,,https://www.rottentomatoes.com/search?search=Highest%202%20Lowest%202025,2025-09-04
Madea's Destination Wedding,2025,,https://www.rottentomatoes.com/search?search=Madea%27s%20Destination%20Wedding%202025,2025-07-10
Brick,2025,,https://www.rottentomatoes.com/search?search=Brick%202025,2025-07-09
Kandungan,2025,,https://www.rottentomatoes.com/search?search=Kandungan%202025,2025-07-22
Tehran,2025,,https://www.rottentomatoes.com/search?search=Tehran%202025,2025-08-14
Trainwreck: Balloon Boy,2025,,https://www.rottentomatoes.com/search?search=Trainwreck%3A%20Balloon%20Boy%202025,2025-07-14
Trainwreck: P.I. Moms,2025,,https://www.rottentomatoes.com/search?search=Trainwreck%3A%20P.I.%20Moms%202025,2025-07-21
Echo Valley,2025,,https://www.rottentomatoes.com/search?search=Echo%20Valley%202025,2025-06-12
Obsesyon,2025,,https://www.rottentomatoes.com/search?search=Obsesyon%202025,2025-07-04
Sunday Best: The Untold Story of Ed Sullivan,2025,,https://www.rottentomatoes.com/search?search=Sunday%20Best%3A%20The%20Untold%20Story%20of%20Ed%20Sullivan%202025,2025-07-21
Victoria's Silver,2025,,https://www.rottentomatoes.com/search?search=Victoria%27s%20Silver%202025,2025-08-15
Lost in Starlight,2025,,https://www.rottentomatoes.com/search?search=Lost%20in%20Starlight%202025,2025-05-29
Pihit,2025,,https://www.rottentomatoes.com/search?search=Pihit%202025,2025-06-06
The Map That Leads to You,2025,,https://www.rottentomatoes.com/search?search=The%20Map%20That%20Leads%20to%20You%202025,2025-08-19
Taandob,2025,,https://www.rottentomatoes.com/search?search=Taandob%202025,2025-08-07
House on Eden,2025,,https://www.rottentomatoes.com/search?search=House%20on%20Eden%202025,2025-08-19
Squid Game in Conversation,2025,,https://www.rottentomatoes.com/search?search=Squid%20Game%20in%20Conversation%202025,2025-06-26
Barron's Cove,2025,,https://www.rottentomatoes.com/search?search=Barron%27s%20Cove%202025,2025-06-06
Vir Das: Fool Volume,2025,,https://www.rottentomatoes.com/search?search=Vir%20Das%3A%20Fool%20Volume%202025,2025-07-18
Jim Jefferies: Two Limb Policy,2025,,https://www.rottentomatoes.com/search?search=Jim%20Jefferies%3A%20Two%20Limb%20Policy%202025,2025-08-11
Ultimate Mission,2025,,https://www.rottentomatoes.com/search?search=Ultimate%20Mission%202025,2025-08-08
Deive Leonardo - Antes & Depois,2025,,https://www.rottentomatoes.com/search?search=Deive%20Leonardo%20-%20Antes%20%26%20Depois%202025,2025-08-10
It's Worth It by Dani Rovira,2025,,https://www.rottentomatoes.com/search?search=It%27s%20Worth%20It%20by%20Dani%20Rovira%202025,2025-07-10
Sipsipan,2025,,https://www.rottentomatoes.com/search?search=Sipsipan%202025,2025-07-11
A Widow's Game,2025,,https://www.rottentomatoes.com/search?search=A%20Widow%27s%20Game%202025,2025-05-29
Graduation Trip: Mallorca,2025,,https://www.rottentomatoes.com/search?search=Graduation%20Trip%3A%20Mallorca%202025,2025-05-30
The Unholy Trinity,2025,,https://www.rottentomatoes.com/search?search=The%20Unholy%20Trinity%202025,2025-07-07
Lulu Is a Rhinoceros,2025,,https://www.rottentomatoes.com/search?search=Lulu%20Is%20a%20Rhinoceros%202025,2025-05-29
Sweet Revenge,2025,,https://www.rottentomatoes.com/search?search=Sweet%20Revenge%202025,2025-08-13
Jaws @ 50: The Definitive Inside Story,2025,,https://www.rottentomatoes.com/search?search=Jaws%20%40%2050%3A%20The%20Definitive%20Inside%20Story%202025,2025-07-11
Open,2025,,https://www.rottentomatoes.com/search?search=Open%202025,2025-06-14
An Endless Wedding,2025,,https://www.rottentomatoes.com/search?search=An%20Endless%20Wedding%202025,2025-05-30
Red Sonja,2025,,https://www.rottentomatoes.com/search?search=Red%20Sonja%202025,2025-08-18
Sitaare Zameen Par,2025,,https://www.rottentomatoes.com/search?search=Sitaare%20Zameen%20Par%202025,2025-08-01
The Kim Kardashian Diamond Heist,2025,,https://www.rottentomatoes.com/search?search=The%20Kim%20Kardashian%20Diamond%20Heist%202025,2025-07-15
Death Letter Blues,2025,,https://www.rottentomatoes.com/search?search=Death%20Letter%20Blues%202025,2025-08-08
Lilith Fair: Building a Mystery,2025,,https://www.rottentomatoes.com/search?search=Lilith%20Fair%3A%20Building%20a%20Mystery%202025,2025-09-17
Pretty Thing,2025,,https://www.rottentomatoes.com/search?search=Pretty%20Thing%202025,2025-07-04
Great White Waters,2025,,https://www.rottentomatoes.com/search?search=Great%20White%20Waters%202025,2025-07-04
ドジで、タメ口で、すぐ不貞腐れるけど なんだかんだ性処理ご奉仕だけは絶対に手を抜かない 正直で実直で可愛すぎる【僕専属】気まぐれメイド,2025,,https://www.rottentomatoes.com/search?search=%E3%83%89%E3%82%B8%E3%81%A7%E3%80%81%E3%82%BF%E3%83%A1%E5%8F%A3%E3%81%A7%E3%80%81%E3%81%99%E3%81%90%E4%B8%8D%E8%B2%9E%E8%85%90%E3%82%8C%E3%82%8B%E3%81%91%E3%81%A9%20%E3%81%AA%E3%82%93%E3%81%A0%E3%81%8B%E3%82%93%E3%81%A0%E6%80%A7%E5%87%A6%E7%90%86%E3%81%94%E5%A5%89%E4%BB%95%E3%81%A0%E3%81%91%E3%81%AF%E7%B5%B6%E5%AF%BE%E3%81%AB%E6%89%8B%E3%82%92%E6%8A%9C%E3%81%8B%E3%81%AA%E3%81%84%20%E6%AD%A3%E7%9B%B4%E3%81%A7%E5%AE%9F%E7%9B%B4%E3%81%A7%E5%8F%AF%E6%84%9B%E3%81%99%E3%81%8E%E3%82%8B%E3%80%90%E5%83%95%E5%B0%82%E5%B1%9E%E3%80%91%E6%B0%97%E3%81%BE%E3%81%90%E3%82%8C%E3%83%A1%E3%82%A4%E3%83%89%202025,2025-07-15
Get Off My Lawn,2025,,https://www.rottentomatoes.com/search?search=Get%20Off%20My%20Lawn%202025,2025-07-11
Trianggulo,2025,,https://www.rottentomatoes.com/search?search=Trianggulo%202025,2025-08-12
Apocalypse in the Tropics,2025,,https://www.rottentomatoes.com/search?search=Apocalypse%20in%20the%20Tropics%202025,2025-07-13
Monster Island,2025,,https://www.rottentomatoes.com/search?search=Monster%20Island%202025,2025-07-25
Netflix Tudum 2025,2025,,https://www.rottentomatoes.com/search?search=Netflix%20Tudum%202025%202025,2025-05-31
Lego Disney Princess: Villains Unite,2025,,https://www.rottentomatoes.com/search?search=Lego%20Disney%20Princess%3A%20Villains%20Unite%202025,2025-08-24
Jurassic World Rebirth: The Making of a New Era,2025,,https://www.rottentomatoes.com/search?search=Jurassic%20World%20Rebirth%3A%20The%20Making%20of%20a%20New%20Era%202025,2025-06-28
The Thursday Murder Club,2025,,https://www.rottentomatoes.com/search?search=The%20Thursday%20Murder%20Club%202025,2025-08-27
Sovereign,2025,,https://www.rottentomatoes.com/search?search=Sovereign%202025,2025-07-11
Dusty Slay: Wet Heat,2025,,https://www.rottentomatoes.com/search?search=Dusty%20Slay%3A%20Wet%20Heat%202025,2025-07-29
40 Acres,2025,,https://www.rottentomatoes.com/search?search=40%20Acres%202025,2025-07-22
Prisoner of War,2025,,https://www.rottentomatoes.com/search?search=Prisoner%20of%20War%202025,2025-09-19
Please Don't Destroy LIVE,2025,,https://www.rottentomatoes.com/search?search=Please%20Don%27t%20Destroy%20LIVE%202025,2025-07-14
Tusok Tusok,2025,,https://www.rottentomatoes.com/search?search=Tusok%20Tusok%202025,2025-07-29
Sarzameen,2025,,https://www.rottentomatoes.com/search?search=Sarzameen%202025,2025-07-25
Bayo,2025,,https://www.rottentomatoes.com/search?search=Bayo%202025,2025-06-24
"Ardisson, l'Homme en Noir : l'hommage",2025,,https://www.rottentomatoes.com/search?search=Ardisson%2C%20l%27Homme%20en%20Noir%20%3A%20l%27hommage%202025,2025-07-15
The Heart Knows,2025,,https://www.rottentomatoes.com/search?search=The%20Heart%20Knows%202025,2025-05-30
Trouble Man!,2025,,https://www.rottentomatoes.com/search?search=Trouble%20Man%21%202025,2025-08-15
Never a Thief,2025,,https://www.rottentomatoes.com/search?search=Never%20a%20Thief%202025,2025-07-25
69,2025,,https://www.rottentomatoes.com/search?search=69%202025,2025-08-22
Our Times,2025,,https://www.rottentomatoes.com/search?search=Our%20Times%202025,2025-06-10
Hipak,2025,,https://www.rottentomatoes.com/search?search=Hipak%202025,2025-07-18
Stans,2025,,https://www.rottentomatoes.com/search?search=Stans%202025,2025-08-25
Pavlov’s Dog,2025,,https://www.rottentomatoes.com/search?search=Pavlov%E2%80%99s%20Dog%202025,2025-06-25
Frozen: The Hit Broadway Musical,2025,,https://www.rottentomatoes.com/search?search=Frozen%3A%20The%20Hit%20Broadway%20Musical%202025,2025-06-20
Grow,2025,,https://www.rottentomatoes.com/search?search=Grow%202025,2025-10-10
Titan: The OceanGate Submersible Disaster,2025,,https://www.rottentomatoes.com/search?search=Titan%3A%20The%20OceanGate%20Submersible%20Disaster%202025,2025-06-10
Krypto Saves the Day!: School Bus Scuffle,2025,,https://www.rottentomatoes.com/search?search=Krypto%20Saves%20the%20Day%21%3A%20School%20Bus%20Scuffle%202025,2025-08-13
Steve,2025,,https://www.rottentomatoes.com/search?search=Steve%202025,2025-10-02
Mountainhead,2025,,https://www.rottentomatoes.com/search?search=Mountainhead%202025,2025-05-30
Trainwreck: The Real Project X,2025,,https://www.rottentomatoes.com/search?search=Trainwreck%3A%20The%20Real%20Project%20X%202025,2025-07-07
Beck 52 - The Invisible Man,2025,,https://www.rottentomatoes.com/search?search=Beck%2052%20-%20The%20Invisible%20Man%202025,2025-06-21
The Plastic Men,2025,,https://www.rottentomatoes.com/search?search=The%20Plastic%20Men%202025,2025-07-29
Et Tu,2025,,https://www.rottentomatoes.com/search?search=Et%20Tu%202025,2025-07-25
Tributo: Francisco Cuoco,2025,,https://www.rottentomatoes.com/search?search=Tributo%3A%20Francisco%20Cuoco%202025,2025-06-06
Restart,2025,,https://www.rottentomatoes.com/search?search=Restart%202025,2025-07-25
Eenie Meanie,2025,,https://www.rottentomatoes.com/search?search=Eenie%20Meanie%202025,2025-08-21
The Home,2025,,https://www.rottentomatoes.com/search?search=The%20Home%202025,2025-08-22
Die Kinderschwindlerin,2025,,https://www.rottentomatoes.com/search?search=Die%20Kinderschwindlerin%202025,2025-06-19
Sharks Up Close with Bertie Gregory,2025,,https://www.rottentomatoes.com/search?search=Sharks%20Up%20Close%20with%20Bertie%20Gregory%202025,2025-07-06
TNA Emergence 2025,2025,,https://www.rottentomatoes.com/search?search=TNA%20Emergence%202025%202025,2025-08-15
Marc Maron: Panicked,2025,,https://www.rottentomatoes.com/search?search=Marc%20Maron%3A%20Panicked%202025,2025-07-31
Reclaim the Flag,2025,,https://www.rottentomatoes.com/search?search=Reclaim%20the%20Flag%202025,2025-07-17
Ein ganz großes Ding,2025,,https://www.rottentomatoes.com/search?search=Ein%20ganz%20gro%C3%9Fes%20Ding%202025,2025-06-19
Donuts,2025,,https://www.rottentomatoes.com/search?search=Donuts%202025,2025-07-17
ROH Supercard of Honor 2025,2025,,https://www.rottentomatoes.com/search?search=ROH%20Supercard%20of%20Honor%202025%202025,2025-07-11
Miley Cyrus: Something Beautiful,2025,,https://www.rottentomatoes.com/search?search=Miley%20Cyrus%3A%20Something%20Beautiful%202025,2025-07-16
Semi-Soeter,2025,,https://www.rottentomatoes.com/search?search=Semi-Soeter%202025,2025-06-19
Fall for Me,2025,,https://www.rottentomatoes.com/search?search=Fall%20for%20Me%202025,2025-08-20
Undercover. Inside the Bunker,2025,,https://www.rottentomatoes.com/search?search=Undercover.%20Inside%20the%20Bunker%202025,2025-06-27
Martabat: Misi Berdarah,2025,,https://www.rottentomatoes.com/search?search=Martabat%3A%20Misi%20Berdarah%202025,2025-08-08
I Became the Main Role of a BL Drama 2,2025,,https://www.rottentomatoes.com/search?search=I%20Became%20the%20Main%20Role%20of%20a%20BL%20Drama%202%202025,2025-06-13
Hot Milk,2025,,https://www.rottentomatoes.com/search?search=Hot%20Milk%202025,2025-08-22
AEW All In: Texas - Zero Hour,2025,,https://www.rottentomatoes.com/search?search=AEW%20All%20In%3A%20Texas%20-%20Zero%20Hour%202025,2025-07-12
Luccas e Gi em: Amor de Mãe,2025,,https://www.rottentomatoes.com/search?search=Luccas%20e%20Gi%20em%3A%20Amor%20de%20M%C3%A3e%202025,2025-07-11
Dancing with the Devil: The Making of Sinners,2025,,https://www.rottentomatoes.com/search?search=Dancing%20with%20the%20Devil%3A%20The%20Making%20of%20Sinners%202025,2025-06-03
Renegade Immortal: Battle of Gods,2025,,https://www.rottentomatoes.com/search?search=Renegade%20Immortal%3A%20Battle%20of%20Gods%202025,2025-05-30
Sendai Girls SENJO The New Era,2025,,https://www.rottentomatoes.com/search?search=Sendai%20Girls%20SENJO%20The%20New%20Era%202025,2025-07-19
A Spartan Dream,2025,,https://www.rottentomatoes.com/search?search=A%20Spartan%20Dream%202025,2025-08-15
Risqué,2025,,https://www.rottentomatoes.com/search?search=Risqu%C3%A9%202025,2025-08-01
Bait,2025,,https://www.rottentomatoes.com/search?search=Bait%202025,2025-07-22
Planet Single: Greek Adventure,2025,,https://www.rottentomatoes.com/search?search=Planet%20Single%3A%20Greek%20Adventure%202025,2025-08-27
